,Country,Disaster Type,Number of Disasters
0,China,Air,6
1,India,Air,10
2,United States of America,Air,23
3,Indonesia,Air,22
4,Philippines,Air,6
5,Nigeria,Air,7
6,Pakistan,Air,10
7,Russian Federation,Air,49
8,Democratic Republic of the Congo,Air,18
9,Bangladesh,Air,0
10,China,Animal incident,0
11,India,Animal incident,0
12,United States of America,Animal incident,0
13,Indonesia,Animal incident,0
14,Philippines,Animal incident,0
15,Nigeria,Animal incident,0
16,Pakistan,Animal incident,0
17,Russian Federation,Animal incident,0
18,Democratic Republic of the Congo,Animal incident,0
19,Bangladesh,Animal incident,0
20,China,Chemical spill,6
21,India,Chemical spill,0
22,United States of America,Chemical spill,1
23,Indonesia,Chemical spill,0
24,Philippines,Chemical spill,1
25,Nigeria,Chemical spill,0
26,Pakistan,Chemical spill,1
27,Russian Federation,Chemical spill,1
28,Democratic Republic of the Congo,Chemical spill,0
29,Bangladesh,Chemical spill,0
30,China,Collapse (Industrial),31
31,India,Collapse (Industrial),10
32,United States of America,Collapse (Industrial),0
33,Indonesia,Collapse (Industrial),7
34,Philippines,Collapse (Industrial),1
35,Nigeria,Collapse (Industrial),4
36,Pakistan,Collapse (Industrial),2
37,Russian Federation,Collapse (Industrial),2
38,Democratic Republic of the Congo,Collapse (Industrial),16
39,Bangladesh,Collapse (Industrial),2
40,China,Collapse (Miscellaneous),19
41,India,Collapse (Miscellaneous),31
42,United States of America,Collapse (Miscellaneous),6
43,Indonesia,Collapse (Miscellaneous),3
44,Philippines,Collapse (Miscellaneous),0
45,Nigeria,Collapse (Miscellaneous),9
46,Pakistan,Collapse (Miscellaneous),6
47,Russian Federation,Collapse (Miscellaneous),4
48,Democratic Republic of the Congo,Collapse (Miscellaneous),0
49,Bangladesh,Collapse (Miscellaneous),6
50,China,Drought,26
51,India,Drought,5
52,United States of America,Drought,15
53,Indonesia,Drought,3
54,Philippines,Drought,4
55,Nigeria,Drought,1
56,Pakistan,Drought,1
57,Russian Federation,Drought,3
58,Democratic Republic of the Congo,Drought,1
59,Bangladesh,Drought,1
60,China,Earthquake,112
61,India,Earthquake,11
62,United States of America,Earthquake,10
63,Indonesia,Earthquake,79
64,Philippines,Earthquake,24
65,Nigeria,Earthquake,0
66,Pakistan,Earthquake,18
67,Russian Federation,Earthquake,6
68,Democratic Republic of the Congo,Earthquake,3
69,Bangladesh,Earthquake,5
70,China,Epidemic,4
71,India,Epidemic,26
72,United States of America,Epidemic,3
73,Indonesia,Epidemic,9
74,Philippines,Epidemic,12
75,Nigeria,Epidemic,48
76,Pakistan,Epidemic,11
77,Russian Federation,Epidemic,6
78,Democratic Republic of the Congo,Epidemic,63
79,Bangladesh,Epidemic,10
80,China,Explosion (Industrial),276
81,India,Explosion (Industrial),15
82,United States of America,Explosion (Industrial),11
83,Indonesia,Explosion (Industrial),6
84,Philippines,Explosion (Industrial),0
85,Nigeria,Explosion (Industrial),27
86,Pakistan,Explosion (Industrial),7
87,Russian Federation,Explosion (Industrial),14
88,Democratic Republic of the Congo,Explosion (Industrial),0
89,Bangladesh,Explosion (Industrial),1
90,China,Explosion (Miscellaneous),26
91,India,Explosion (Miscellaneous),8
92,United States of America,Explosion (Miscellaneous),3
93,Indonesia,Explosion (Miscellaneous),2
94,Philippines,Explosion (Miscellaneous),3
95,Nigeria,Explosion (Miscellaneous),11
96,Pakistan,Explosion (Miscellaneous),6
97,Russian Federation,Explosion (Miscellaneous),9
98,Democratic Republic of the Congo,Explosion (Miscellaneous),3
99,Bangladesh,Explosion (Miscellaneous),1
100,China,Extreme temperature,9
101,India,Extreme temperature,34
102,United States of America,Extreme temperature,16
103,Indonesia,Extreme temperature,0
104,Philippines,Extreme temperature,0
105,Nigeria,Extreme temperature,1
106,Pakistan,Extreme temperature,12
107,Russian Federation,Extreme temperature,13
108,Democratic Republic of the Congo,Extreme temperature,0
109,Bangladesh,Extreme temperature,15
110,China,Fire (Industrial),37
111,India,Fire (Industrial),15
112,United States of America,Fire (Industrial),0
113,Indonesia,Fire (Industrial),4
114,Philippines,Fire (Industrial),2
115,Nigeria,Fire (Industrial),2
116,Pakistan,Fire (Industrial),2
117,Russian Federation,Fire (Industrial),7
118,Democratic Republic of the Congo,Fire (Industrial),0
119,Bangladesh,Fire (Industrial),11
120,China,Fire (Miscellaneous),42
121,India,Fire (Miscellaneous),30
122,United States of America,Fire (Miscellaneous),13
123,Indonesia,Fire (Miscellaneous),5
124,Philippines,Fire (Miscellaneous),25
125,Nigeria,Fire (Miscellaneous),5
126,Pakistan,Fire (Miscellaneous),9
127,Russian Federation,Fire (Miscellaneous),29
128,Democratic Republic of the Congo,Fire (Miscellaneous),5
129,Bangladesh,Fire (Miscellaneous),17
130,China,Flood,218
131,India,Flood,193
132,United States of America,Flood,116
133,Indonesia,Flood,200
134,Philippines,Flood,106
135,Nigeria,Flood,50
136,Pakistan,Flood,87
137,Russian Federation,Flood,55
138,Democratic Republic of the Congo,Flood,38
139,Bangladesh,Flood,41
140,China,Gas leak,18
141,India,Gas leak,4
142,United States of America,Gas leak,2
143,Indonesia,Gas leak,0
144,Philippines,Gas leak,0
145,Nigeria,Gas leak,0
146,Pakistan,Gas leak,1
147,Russian Federation,Gas leak,1
148,Democratic Republic of the Congo,Gas leak,0
149,Bangladesh,Gas leak,1
150,China,Glacial lake outburst flood,0
151,India,Glacial lake outburst flood,3
152,United States of America,Glacial lake outburst flood,0
153,Indonesia,Glacial lake outburst flood,0
154,Philippines,Glacial lake outburst flood,0
155,Nigeria,Glacial lake outburst flood,0
156,Pakistan,Glacial lake outburst flood,0
